datetime,humidity,pressure,temp_celsius,description,wind_speed,wind_direction
2012-10-01 13:00:00,87.0,1012.0,15.5,mist,4.0,70.0
2012-10-01 14:00:00,87.0,1012.0,15.500172214000031,overcast clouds,4.0,70.0
2012-10-01 15:00:00,87.0,1012.0,15.500581705000002,overcast clouds,4.0,71.0
2012-10-01 16:00:00,87.0,1012.0,15.50099119600003,overcast clouds,4.0,71.0
2012-10-01 17:00:00,87.0,1012.0,15.501400687000057,overcast clouds,4.0,72.0
2012-10-01 18:00:00,87.0,1012.0,15.501810178000028,overcast clouds,4.0,73.0
2012-10-01 19:00:00,87.0,1012.0,15.502219669000056,overcast clouds,4.0,74.0
2012-10-01 20:00:00,87.0,1012.0,15.502629160000026,overcast clouds,4.0,75.0
2012-10-01 21:00:00,87.0,1012.0,15.503038650999997,overcast clouds,4.0,76.0
2012-10-01 22:00:00,87.0,1012.0,15.503448143000014,overcast clouds,4.0,76.0
2012-10-01 23:00:00,87.0,1012.0,15.503857634000042,overcast clouds,4.0,77.0
2012-10-02 00:00:00,87.0,1012.0,15.504267125000013,overcast clouds,4.0,78.0
2012-10-02 01:00:00,87.0,1012.0,15.504676615999983,overcast clouds,4.0,79.0
2012-10-02 02:00:00,87.0,1012.0,15.505086107000011,overcast clouds,4.0,80.0
2012-10-02 03:00:00,87.0,1012.0,15.505495598000039,overcast clouds,4.0,80.0
2012-10-02 04:00:00,87.0,1012.0,15.505905089000066,overcast clouds,4.0,81.0
2012-10-02 05:00:00,87.0,1012.0,15.506314580000037,overcast clouds,4.0,82.0
2012-10-02 06:00:00,87.0,1012.0,15.506724071000008,overcast clouds,4.0,83.0
2012-10-02 07:00:00,87.0,1012.0,15.507133562000035,overcast clouds,4.0,84.0
2012-10-02 08:00:00,87.0,1012.0,15.507543053000006,overcast clouds,4.0,85.0
2012-10-02 09:00:00,87.0,1012.0,15.507952545000023,overcast clouds,4.0,85.0
2012-10-02 10:00:00,87.0,1012.0,15.508362035999994,overcast clouds,4.0,86.0
2012-10-02 11:00:00,87.0,1012.0,15.508771527000022,overcast clouds,4.0,87.0
2012-10-02 12:00:00,87.0,1012.0,15.509181017999992,overcast clouds,4.0,88.0
2012-10-02 13:00:00,87.0,1012.0,15.50959050900002,overcast clouds,4.0,89.0
2012-10-02 14:00:00,87.0,1013.0,15.510000000000048,moderate rain,4.0,90.0
2012-10-02 15:00:00,82.0,1013.0,15.450000000000045,moderate rain,4.0,80.0
2012-10-02 16:00:00,93.0,1013.0,15.5,mist,0.0,0.0
2012-10-02 17:00:00,100.0,1013.0,15.5,mist,2.0,60.0
2012-10-02 18:00:00,87.0,1012.0,15.760000000000048,mist,2.0,80.0
2012-10-02 19:00:00,100.0,1012.0,16.100000000000023,mist,2.0,70.0
2012-10-02 20:00:00,100.0,1011.0,16.439999999999998,light intensity drizzle,3.0,50.0
2012-10-02 21:00:00,100.0,1012.0,16.55000000000001,mist,1.0,50.0
2012-10-02 22:00:00,93.0,1011.0,16.49000000000001,mist,3.0,50.0
2012-10-02 23:00:00,93.0,1011.0,16.680000000000007,mist,3.0,60.0
2012-10-03 00:00:00,93.0,1010.0,16.660000000000025,light rain,3.0,50.0
2012-10-03 01:00:00,93.0,1011.0,17.210000000000036,moderate rain,4.0,60.0
2012-10-03 02:00:00,93.0,1011.0,17.33000000000004,light intensity drizzle,4.0,70.0
2012-10-03 03:00:00,100.0,1011.0,17.920000000000016,mist,4.0,100.0
2012-10-03 04:00:00,93.0,1010.0,18.390000000000043,light rain,4.0,110.0
2012-10-03 05:00:00,94.0,1010.0,19.310000000000002,fog,4.0,120.0
2012-10-03 06:00:00,88.0,1009.0,20.05000000000001,light rain,4.0,120.0
2012-10-03 07:00:00,94.0,1009.0,21.30000000000001,fog,2.0,130.0
